,CPI,spread,unrate
1957/1/1,28.5,0.27,4.2
1957/2/1,28.6,0.1,3.9
1957/3/1,28.7,0.12,3.7
1957/4/1,28.8,0.07,3.9
1957/5/1,28.8,0.06,4.1
1957/6/1,28.9,0.29,4.3
1957/7/1,29,0.17,4.2
1957/8/1,29,0.13,4.1
1957/9/1,29.1,0.06,4.4
1957/10/1,29.2,0.08,4.5
1957/11/1,29.3,0.03,5.1
1957/12/1,29.3,0.06,5.2
1958/1/1,29.3,-0.28,5.8
1958/2/1,29.4,-0.14,6.4
1958/3/1,29.5,0.1,6.7
1958/4/1,29.5,-0.13,7.4
1958/5/1,29.5,0.28,7.4
1958/6/1,29.6,-0.1,7.3
1958/7/1,29.6,0.23,7.5
1958/8/1,29.6,0.16,7.4
1958/9/1,29.7,0.68,7.1
1958/10/1,29.7,0.83,6.7
1958/11/1,29.8,0.4,6.2
1958/12/1,29.9,0.35,6.2
1959/1/1,29.9,0.34,6
1959/2/1,29.9,0.27,5.9
1959/3/1,30,0,5.6
1959/4/1,30,-0.01,5.2
1959/5/1,30.1,-0.06,5.1
1959/6/1,30.2,-0.18,5
1959/7/1,30.2,-0.27,5.1
1959/8/1,30.2,-0.12,5.2
1959/9/1,30.3,0.28,5.5
1959/10/1,30.4,0.07,5.7
1959/11/1,30.4,0.15,5.8
1959/12/1,30.5,0.5,5.3
1960/1/1,30.5,0.36,5.2
1960/2/1,30.6,-0.01,4.8
1960/3/1,30.6,-0.53,5.4
1960/4/1,30.6,-0.69,5.2
1960/5/1,30.6,-0.56,5.1
1960/6/1,30.7,-0.86,5.4
1960/7/1,30.6,-0.93,5.5
1960/8/1,30.6,-0.68,5.6
1960/9/1,30.6,-0.12,5.5
1960/10/1,30.8,-0.17,6.1
1960/11/1,30.8,-0.07,6.1
1960/12/1,30.7,0.27,6.6
1961/1/1,30.8,0.79,6.6
1961/2/1,30.8,-0.12,6.9
1961/3/1,30.9,0.37,6.9
1961/4/1,30.9,0.8,7
1961/5/1,30.9,0.31,7.1
1961/6/1,31,0.6,6.9
1961/7/1,31,1.07,7
1961/8/1,31.1,0.39,6.6
1961/9/1,31.1,0.4,6.7
1961/10/1,31.1,0.04,6.5
1961/11/1,31.2,-0.13,6.1
1961/12/1,31.2,0.27,6
1962/1/1,31.2,0.57,5.8
1962/2/1,31.2,0.36,5.5
1962/3/1,31.3,-0.13,5.6
1962/4/1,31.3,-0.05,5.6
1962/5/1,31.4,0.33,5.5
1962/6/1,31.4,0.05,5.5
1962/7/1,31.4,0.21,5.4
1962/8/1,31.5,-0.11,5.7
1962/9/1,31.5,-0.12,5.6
1962/10/1,31.5,-0.16,5.4
1962/11/1,31.5,-0.11,5.7
1962/12/1,31.6,-0.06,5.5
1963/1/1,31.5,-0.01,5.7
1963/2/1,31.6,-0.08,5.9
1963/3/1,31.7,-0.09,5.7
1963/4/1,31.7,0,5.7
1963/5/1,31.7,-0.07,5.9
1963/6/1,31.8,0,5.6
1963/7/1,31.8,0.16,5.6
1963/8/1,31.9,-0.17,5.4
1963/9/1,31.9,-0.1,5.5
1963/10/1,32,-0.05,5.5
1963/11/1,32,0.04,5.7
1963/12/1,32.1,0.14,5.5
1964/1/1,32.2,0.04,5.6
1964/2/1,32.2,0.05,5.4
1964/3/1,32.2,0.11,5.4
1964/4/1,32.2,0,5.3
1964/5/1,32.2,-0.02,5.1
1964/6/1,32.3,-0.02,5.2
1964/7/1,32.3,0.04,4.9
