"Date","GDP"
"1947-01-01",15248
"1947-04-01",15139
"1947-07-01",15039
"1947-10-01",15204
"1948-01-01",15371
"1948-04-01",15563
"1948-07-01",15585
"1948-10-01",15530
"1949-01-01",15250
"1949-04-01",15137
"1949-07-01",15228
"1949-10-01",15032
"1950-01-01",15559
"1950-04-01",15977
"1950-07-01",16524
"1950-10-01",16764
"1951-01-01",16922
"1951-04-01",17147
"1951-07-01",17420
"1951-10-01",17375
"1952-01-01",17490
"1952-04-01",17459
"1952-07-01",17509
"1952-10-01",18001
"1953-01-01",18268
"1953-04-01",18341
"1953-07-01",18155
"1953-10-01",17797
"1954-01-01",17636
"1954-04-01",17584
"1954-07-01",17701
"1954-10-01",17960
"1955-01-01",18396
"1955-04-01",18621
"1955-07-01",18787
"1955-10-01",18808
"1956-01-01",18658
"1956-04-01",18736
"1956-07-01",18632
"1956-10-01",18845
"1957-01-01",18881
"1957-04-01",18763
"1957-07-01",18862
"1957-10-01",18582
"1958-01-01",18032
"1958-04-01",18081
"1958-07-01",18419
"1958-10-01",18764
"1959-01-01",19041
"1959-04-01",19395
"1959-07-01",19326
"1959-10-01",19296
"1960-01-01",19614
"1960-04-01",19392
"1960-07-01",19390
"1960-10-01",19065
"1961-01-01",19130
"1961-04-01",19380
"1961-07-01",19670
"1961-10-01",19970
"1962-01-01",20254
"1962-04-01",20366
"1962-07-01",20536
"1962-10-01",20521
"1963-01-01",20677
"1963-04-01",20842
"1963-07-01",21219
"1963-10-01",21276
"1964-01-01",21657
"1964-04-01",21824
"1964-07-01",22085
"1964-10-01",22075
"1965-01-01",22547
"1965-04-01",22770
"1965-07-01",23198
"1965-10-01",23656
"1966-01-01",24172
"1966-04-01",24191
"1966-07-01",24321
"1966-10-01",24446
"1967-01-01",24602
"1967-04-01",24556
"1967-07-01",24719
"1967-10-01",24836
"1968-01-01",25288
"1968-04-01",25652
"1968-07-01",25781
"1968-10-01",25813
"1969-01-01",26162
"1969-04-01",26181
"1969-07-01",26281
"1969-10-01",26076
"1970-01-01",25973
"1970-04-01",25929
"1970-07-01",26079
"1970-10-01",25710
"1971-01-01",26328
"1971-04-01",26394
"1971-07-01",26529
"1971-10-01",26510
"1972-01-01",26932
"1972-04-01",27478
"1972-07-01",27666
"1972-10-01",28055
"1973-01-01",28687
"1973-04-01",28935
"1973-07-01",28711
"1973-10-01",28913
"1974-01-01",28606
"1974-04-01",28613
"1974-07-01",28270
"1974-10-01",28088
"1975-01-01",27690
"1975-04-01",27821
"1975-07-01",28214
"1975-10-01",28520
"1976-01-01",29099
"1976-04-01",29250
"1976-07-01",29335
"1976-10-01",29469
