Mdate,DJI,RF,MP,UI,DEI,UPR,UTS,YP,OG,cg,VWRETD,EWRETD
1959/2/1,590.72,0.19,1.9395,-0.5839,0.2835,0.93,1.26,12.6525,-1.4706,1,3.0112,3.5095
1959/3/1,609.12,0.22,1.43,0.0555,-0.294,0.86,1.19,15.3166,0,0.9,1.4828,1.766
1959/4/1,616.99,0.2,2.108,0.2668,0.1341,0.74,1.17,19.0933,0.738,-0.4,3.2851,3.317
1959/5/1,630.8,0.22,1.4954,-0.2243,0.1458,0.65,1.47,19.612,0,1.2,0.7456,0.2116
1959/6/1,631.51,0.25,0.1137,0.263,-0.1432,0.7,1.13,17.1207,0,0.4,2.1793,1.1121
1959/7/1,662.81,0.25,-2.4237,0.1168,0.1451,0.68,1.2,13.2194,0,-0.3,2.9981,3.1721
1959/8/1,660.58,0.19,-3.4464,-0.2324,0.0061,0.66,1.05,7.7928,0,0.6,-1.5151,-1.3235
1959/9/1,635.47,0.31,-0.1211,0.2522,-0.1427,0.5,0.64,6.7607,-1.4815,1,-4.6981,-4.5437
1959/10/1,637.34,0.3,-0.7291,0.1074,0.1436,0.75,0.48,4.8727,0,-0.7,3.0453,2.9072
1959/11/1,646.43,0.26,0.6079,-0.2389,0.0056,0.73,0.38,2.5784,0,0,2.9295,2.027
1959/12/1,671.35,0.34,5.9982,-0.0967,-0.1421,0.59,0.2,8.4522,0,-0.1,1.7128,2.4644
1960/1/1,655.39,0.33,2.5919,-0.4322,-0.0052,0.62,0.37,9.5643,0,0.3,-5.6053,-3.7695
1960/2/1,624.88,0.29,-0.8937,0.4019,-0.1528,0.85,0.53,6.7311,0,0.4,2.3772,1.3188
1960/3/1,614.7,0.35,-0.9021,-0.2192,0.2805,1,0.94,4.399,0,1.4,-1.2679,-1.7807
1960/4/1,619.98,0.19,-0.7956,0.2614,-0.141,0.92,1.05,1.4954,0,1.5,-0.3602,-1.4247
1960/5/1,615.64,0.27,-0.1143,-0.2213,0.1432,0.93,1.06,-0.1143,0,-2,4.1493,2.9798
1960/6/1,644.38,0.24,-1.2652,0.2579,-0.1407,1.11,1.69,-1.4932,0,0,1.5312,2.18
1960/7/1,625.83,0.13,-0.3481,-0.2232,0.1426,1.32,1.6,0.5824,0,0.2,-1.7684,-1.9228
1960/8/1,624.47,0.17,-0.1159,-0.0828,-0.1404,1.28,1.5,3.9129,0,-0.1,3.2863,4.6584
1960/9/1,598.1,0.16,-1.0523,-0.0784,-0.0044,1.21,1.32,2.9817,0,0.5,-6.3179,-6.1812
1960/10/1,582.45,0.22,-0.1172,0.5992,-0.0042,1.22,1.59,3.5935,0,0.5,-0.5893,-2.2451
1960/11/1,601.14,0.13,-1.422,-0.3624,0.2882,1.15,1.56,1.5637,0,-0.3,6.4695,5.3953
1960/12/1,609.54,0.16,-1.9278,-0.0874,-0.275,1.26,1.59,-6.3623,0,-1.2,4.4774,4.1765
1961/1/1,632.2,0.19,0.1217,-0.0828,-0.0047,1.26,1.6,-8.8325,0,0.3,6.8005,7.9658
1961/2/1,650.01,0.14,-0.1217,-0.0783,-0.0044,1.29,1.36,-8.0605,0,0.4,5.9344,6.7323
1961/3/1,670.56,0.2,0.6064,-0.0742,-0.0042,1.28,1.35,-6.552,0,1.2,3.6821,5.167
1961/4/1,684.9,0.17,2.0349,-0.0702,-0.0039,1.23,1.49,-3.7214,0.7435,0,-0.0451,1.0909
